i,root in bisection,root in Regula falsi
1,0.5,0.8075982052665829
2,0.25,0.6265494882844935
3,0.375,0.49985393187801186
4,0.3125,0.42979553644622137
5,0.34375,0.39632542281599925
6,0.359375,0.3814972968627457
7,0.3671875,0.3751529050070425
8,0.37109375,0.3724793039057679
9,0.369140625,0.3713598671047275
10,0.3701171875,0.3708924286491957
11,0.37060546875,0.37069746366711326
12,0.370361328125,0.37061618376611605
13,0.3704833984375,0.37058230528185915
14,0.37054443359375,0.37056818546599873
15,0.370574951171875,0.370562300835524
16,0.3705596923828125,_
